	type	population size	Province/State	Country/Region	Lat	Long	1/22/20	1/23/20	1/24/20	1/25/20	1/26/20	1/27/20	1/28/20	1/29/20	1/30/20	1/31/20	2/1/20	2/2/20	2/3/20	2/4/20	2/5/20	2/6/20	2/7/20	2/8/20	2/9/20	2/10/20	2/11/20	2/12/20	2/13/20	2/14/20	2/15/20	2/16/20	2/17/20	2/18/20	2/19/20	2/20/20	2/21/20	2/22/20	2/23/20	2/24/20	2/25/20	2/26/20	2/27/20	2/28/20	2/29/20	3/1/20	3/2/20	3/3/20	3/4/20	3/5/20	3/6/20	3/7/20	3/8/20	3/9/20	3/10/20	3/11/20	3/12/20	3/13/20	3/14/20	3/15/20	3/16/20	3/17/20	3/18/20
46	Confirmed	0	Mantova	Italia	45.15726772	10.79277363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	119	137	169	187	261	339	382	465	514
47	Confirmed	0	Milano	Italia	45.46679409	9.190347404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	15	29	30	0	0	0	0	0	0	0	0	0	592	925	1146	1307	1551	1750	1983	2326	2644
48	Confirmed	0	Monza e della Brianza	Italia	45.58439043	9.273582472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	5	6	6	0	0	0	0	0	0	0	0	0	65	85	130	143	224	327	346	376	401
49	Confirmed	0	Pavia	Italia	45.18509264	9.160157191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	27	36	49	55	0	0	0	0	0	0	0	0	0	324	403	468	482	622	722	801	884	978
50	Confirmed	0	Sondrio	Italia	46.17099261	9.87147489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	3	3	0	0	0	0	0	0	0	0	0	7	13	23	23	45	45	46	74	75
51	Confirmed	0	Varese	Italia	45.81701677	8.822868344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	50	75	98	125	158	184	202	234	265
52	Confirmed	0	Ancona	Italia	43.61675973	13.5188753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	110	142	158	215	267	323	356	403
53	Confirmed	0	Ascoli Piceno	Italia	42.85322304	13.57691127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	7	14	21	23	25
54	Confirmed	0	Fermo	Italia	43.16058534	13.71839535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8	11	16	22	36	36	36	46
55	Confirmed	0	Macerata	Italia	43.30023926	13.45307182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	17	32	48	58	94	117	128	160
